01	Ngchemiangel	7.44613	134.47678	20	301
02	Ngetkib	7.36451	134.51484	23	301
03	Angaur State	6.90601	134.12997	9	301
04	Tobi Village	3.00488	131.12168	21	301
05	Kayangel	8.08228	134.71725	9	301
06	Koror	7.33978	134.47326	34	301
06	Koror Town	7.34257	134.47888	29	301
07	Melekeok Village	7.49567	134.63671	16	301
07	Ngerulmud	7.50077	134.6238	72	301
08	Ulimang	7.62416	134.64208	11	301
09	Mengellang	7.6957	134.63054	59	301
10	Ngardmau	7.60986	134.5744	24	301
11	Ngereklmadel	7.48826	134.48562	40	301
12	Ngchesar Hamlet	7.46932	134.60991	18	301
13	Imeong Hamlet	7.53134	134.52713	26	301
14	Ngerkeai	7.55456	134.63612	17	301
15	Kloulklubed	7.04192	134.25561	9	301
16	Sonsorol Village	5.32608	132.21943	7	301
