01	Azua	18.45319	-70.7349	86	138
01	El Guayabal	18.7496	-70.8369	727	138
01	Estebanía	18.4577	-70.6435	61	138
01	Las Charcas	18.45026	-70.61724	68	138
01	Padre Las Casas	18.73172	-70.93917	518	138
01	Palmar de Ocoa	18.29656	-70.58635	-9999	138
01	Peralta	18.58164	-70.77029	482	138
01	Pueblo Viejo	18.4	-70.76765	24	138
01	Sabana Yegua	18.71667	-71.01667	393	138
01	Tábara Arriba	18.56999	-70.87978	296	138
01	Villarpando	18.6586	-71.03916	287	138
01	Yayas de Viajama	18.6071	-70.92753	317	138
02	El Palmar	18.41139	-71.24558	14	138
02	Galván	18.50228	-71.34271	42	138
02	La Uvilla	18.36186	-71.21046	26	138
02	Los Ríos	18.52131	-71.59106	34	138
02	Neiba	18.48137	-71.41965	25	138
02	Tamayo	18.3947	-71.2029	32	138
02	Villa Jaragua	18.49077	-71.48377	12	138
03	Cabral	18.25	-71.21667	21	138
03	Cachón	18.24833	-71.18912	22	138
03	Canoa	18.35499	-71.15851	22	138
03	El Peñón	18.29643	-71.1841	14	138
03	Enriquillo	17.9	-71.23333	51	138
03	Fundación	18.28668	-71.18147	16	138
03	Jaquimeyes	18.31173	-71.16145	12	138
03	La Ciénaga	18.06858	-71.10651	30	138
03	Las Salinas	18.27485	-71.31596	31	138
03	Paraíso	17.99172	-71.16526	28	138
03	Pescadería	18.26766	-71.16612	10	138
03	Polo	18.07873	-71.28723	735	138
03	Santa Cruz de Barahona	18.20854	-71.10077	39	138
03	Vicente Noble	18.38443	-71.18009	36	138
04	Dajabón	19.54878	-71.70829	38	138
04	El Pino	19.43537	-71.4754	216	138
04	Loma de Cabrera	19.43333	-71.6	303	138
04	Partido	19.48403	-71.5473	200	138
04	Restauración	19.31532	-71.69239	583	138
06	Agua Santa del Yuna	19.15072	-69.80069	11	138
06	Arenoso	19.18732	-69.85917	18	138
06	Castillo	19.20824	-70.02726	80	138
06	Cenoví	19.2545	-70.368	78	138
06	Hostos	19.18043	-70.02046	48	138
06	La Peña	19.27676	-70.17173	106	138
06	Las Guáranas	19.1931	-70.20835	48	138
06	Pimentel	19.18416	-70.10884	42	138
06	San Francisco de Macorís	19.30099	-70.25259	121	138
06	Villa Riva	19.18069	-69.91319	29	138
08	Cayetano Germosén	19.34413	-70.48342	150	138
08	Gaspar Hernández	19.62748	-70.27772	13	138
08	Jamao al Norte	19.63552	-70.44664	51	138
08	Joba Arriba	19.56667	-70.26667	103	138
08	José Contreras	19.46954	-70.45253	696	138
08	Juan López Abajo	19.43333	-70.5	254	138
08	Moca	19.39352	-70.52598	191	138
08	San Víctor Arriba	19.47741	-70.53585	530	138
08	Veragua Arriba	19.58333	-70.33333	108	138
09	Cristóbal	18.29405	-71.29298	14	138
09	Duvergé	18.37839	-71.52469	9	138
09	Guayabal	18.5981	-71.64184	253	138
09	Jimaní	18.49169	-71.85022	48	138
09	La Descubierta	18.57053	-71.72967	31	138
09	Mella	18.35871	-71.41716	9	138
09	Postrer Río	18.54374	-71.63561	16	138
10	Boca de Yuma	18.37825	-68.609	8	138
10	Otra Banda	18.65017	-68.66281	113	138
10	Punta Cana	18.58182	-68.40431	28	138
10	Salvaleón de Higüey	18.61501	-68.70798	95	138
10	San Rafael del Yuma	18.42993	-68.6739	49	138
11	Bánica	19.08239	-71.7054	277	138
11	Comendador	18.8775	-71.70278	394	138
