04	Beirut	33.89332	35.50157	40	222
04	Ra’s Bayrūt	33.9	35.48333	35	222
05	Aaley	33.80528	35.6	878	222
05	Baabda	33.83389	35.54417	215	222
05	Beït ed Dîne	33.69417	35.58083	859	222
05	Bhamdoun	33.795	35.65111	1145	222
05	Bhamdoûn el Mhatta	33.80861	35.65972	1083	222
05	Hrajel	34.01722	35.79244	1325	222
05	Jbaïl	34.12111	35.64806	33	222
05	Jdaidet el Matn	33.89056	35.56639	32	222
05	Jounieh	33.98083	35.61778	40	222
06	En Nâqoûra	33.11806	35.13972	71	222
06	Ghazieh	33.5175	35.36889	59	222
06	Jezzîne	33.54167	35.58444	945	222
06	Sidon	33.55751	35.37148	9	222
06	Tyre	33.27333	35.19389	7	222
07	Ain Ebel	33.11023	35.40251	758	222
07	Bent Jbaïl	33.11944	35.43333	743	222
07	Habboûch	33.40729	35.48169	457	222
07	Hâsbaïya	33.39778	35.685	747	222
07	Marjayoûn	33.36028	35.59111	731	222
07	Nabatîyé et Tahta	33.37889	35.48389	428	222
08	Aanjar	33.72778	35.93111	920	222
08	Joubb Jannîne	33.62694	35.78417	945	222
08	Râchaïya el Ouadi	33.50089	35.8437	1240	222
08	Zahlé	33.84675	35.90203	963	222
09	Amioûn	34.3	35.80889	343	222
09	Batroûn	34.25528	35.65806	13	222
09	Bcharré	34.25083	36.01056	1442	222
09	Fadous	34.22833	35.65584	7	222
09	Sîr ed Danniyé	34.38528	36.03111	940	222
09	Tripoli	34.43352	35.84415	51	222
09	Zghartā	34.39739	35.89493	126	222
10	Halba	34.54278	36.07972	157	222
11	Baalbek	34.00583	36.21806	1183	222
11	El Hermel	34.39417	36.38472	743	222
